Step: 500 Time: 0.05 Boundary Angle: 0
37,1,2,6.77897,-76.0139
38,1,2,-7.51347,-76.7284
39,1,2,10.2647,-73.0256
40,1,2,2.27859,-68.1512
41,1,2,4.6944,-72.0733
42,1,2,11.3441,-67.5251
43,1,2,-5.94786,-62.0518
44,1,2,-5.88181,-70.974
45,1,2,6.9085,-67.2482
46,1,2,-1.80043,-69.5294
47,1,2,-0.183553,-63.8435
48,1,2,-4.71193,-65.9407
49,1,2,2.26767,-60.3319
50,1,2,10.4336,-58.9608
51,1,2,4.76114,-63.6952
52,1,2,6.32797,-59.5577
53,1,2,-2.43362,-59.6023
54,1,2,-9.61891,-59.8832
-----------------------------------
Step: 6000 Time: 0.6 Boundary Angle: 0
0,1,2,9.04237,-117.657
1,1,2,5.05908,-117.9
2,1,2,-10.083,-117.57
3,1,2,-0.571435,-118
4,1,2,-4.72196,-117.912
5,1,2,2.19765,-115.117
6,1,2,-7.21223,-114.786
7,1,2,-12.6995,-114.545
8,1,2,6.7986,-114.3
9,1,2,4.13085,-111.321
10,1,2,-2.75374,-114.433
11,1,2,15.2131,-117.017
12,1,2,9.65343,-111.5
13,1,2,-15.9107,-116.923
14,1,2,11.8678,-114.832
15,1,2,-5.7705,-111.056
16,1,2,14.0588,-111.489
17,1,2,-19.0595,-114.456
18,1,2,-9.82781,-111.766
19,1,2,20.1422,-116.269
20,1,2,0.152297,-111.689
21,1,2,13.0075,-107.634
22,1,2,17.7316,-113.077
23,1,2,1.38279,-107.883
24,1,2,-6.15451,-107.052
25,1,2,-2.52362,-108.724
26,1,2,-10.0922,-107.779
27,1,2,8.59745,-107.646
28,1,2,-4.58779,-90.9794
29,1,2,-12.2981,-104.443
30,1,2,4.93433,-106.051
31,1,2,-1.82654,-104.744
32,1,2,-12.0691,-98.3927
33,1,2,-8.06771,-103.546
34,1,2,-7.25717,-98.1203
35,1,2,4.84597,-92.2856
36,1,2,-1.98945,-82.5423
37,1,2,6.69205,-85.4617
38,1,2,-6.3855,-86.5963
39,1,2,9.67571,-81.8691
40,1,2,2.95997,-75.7787
41,1,2,5.3552,-80.4834
42,1,2,11.5536,-75.5102
43,1,2,-5.96523,-68.372
44,1,2,-5.50013,-78.7863
45,1,2,5.85308,-72.1288
46,1,2,-1.68696,-77.1106
47,1,2,-0.611913,-69.9091
48,1,2,-4.71544,-72.6476
49,1,2,1.40812,-65.7254
50,1,2,11.74,-62.0664
51,1,2,4.67669,-68.1812
52,1,2,6.58605,-60.4681
53,1,2,-2.23065,-63.8614
54,1,2,-10.0257,-62.6656
55,1,2,8.07294,-64.1904
56,1,2,2.57512,-60.6713
57,1,2,-4.60049,-60.4934
58,1,2,-0.973736,-58.7509
59,1,2,-8.3419,-58.8589
-----------------------------------
Step: 6500 Time: 0.65 Boundary Angle: 0
0,1,2,9.66577,-117.61
1,1,2,5.51487,-117.872
2,1,2,-11.3299,-117.463
3,1,2,-0.460052,-118.003
4,1,2,-4.45248,-117.922
5,1,2,2.46703,-115.284
6,1,2,-7.76013,-115.676
7,1,2,-13.5521,-114.144
8,1,2,7.54354,-114.223
9,1,2,4.38306,-111.779
10,1,2,-2.42347,-114.48
11,1,2,15.7392,-116.951
12,1,2,10.3426,-111.324
13,1,2,-16.503,-116.84
14,1,2,12.4299,-114.726
15,1,2,-5.72929,-112.236
16,1,2,15.9137,-112.761
17,1,2,-20.4537,-116.214
18,1,2,-9.96431,-112.34
19,1,2,20.2101,-116.257
20,1,2,0.394442,-111.64
21,1,2,15.496,-108.789
22,1,2,19.8862,-112.27
23,1,2,2.50956,-108.244
24,1,2,-7.36076,-108.587
25,1,2,-2.91619,-109.396
26,1,2,-14.8971,-110.382
27,1,2,10.855,-107.348
28,1,2,-3.00642,-101.88
29,1,2,-19.3371,-111.026
30,1,2,7.16896,-108.919
31,1,2,-0.840127,-105.979
32,1,2,-15.1427,-106.394
33,1,2,-11.3661,-108.517
34,1,2,-5.29435,-105.172
35,1,2,5.39641,-105.349
36,1,2,-2.29237,-93.2536
37,1,2,6.60513,-97.3619
38,1,2,-5.38574,-98.6765
39,1,2,9.28585,-93.2551
40,1,2,3.64136,-85.8588
41,1,2,5.81598,-91.2555
42,1,2,11.7631,-85.9478
43,1,2,-5.9826,-77.1447
44,1,2,-5.11844,-89.0511
45,1,2,4.75328,-79.3573
46,1,2,-1.57349,-87.1443
47,1,2,-0.483483,-77.4021
48,1,2,-4.71895,-81.8071
49,1,2,0.915235,-71.8627
50,1,2,12.4825,-67.926
51,1,2,4.18329,-74.9328
52,1,2,6.60892,-65.4436
53,1,2,-2.34178,-67.971
54,1,2,-9.13157,-66.4714
55,1,2,8.10616,-69.6742
56,1,2,2.45028,-65.4122
57,1,2,-5.56081,-63.9956
58,1,2,-1.08336,-59.5751
59,1,2,-8.55738,-61.1468
60,1,2,-1.42897,-63.6956
61,1,2,3.35243,-60.5109
62,1,2,7.46247,-57.0932
63,1,2,11.1091,-62.3617
64,1,2,7.31216,-61.1069
-----------------------------------
Step: 7000 Time: 0.7 Boundary Angle: 0
0,1,2,10.3225,-117.55
1,1,2,6.33734,-117.832
2,1,2,-12.5236,-117.337
3,1,2,-0.437923,-118.004
4,1,2,-4.50361,-117.914
5,1,2,2.89862,-115.8
6,1,2,-8.49192,-117.61
7,1,2,-14.3888,-113.637
8,1,2,8.89318,-113.815
9,1,2,5.12539,-112.478
10,1,2,-2.39373,-114.519
11,1,2,16.3657,-116.86
12,1,2,14.9852,-110.961
13,1,2,-16.8489,-116.791
14,1,2,13.0493,-114.624
15,1,2,-6.38016,-114.192
16,1,2,18.512,-112.831
17,1,2,-20.9244,-116.13
18,1,2,-10.3731,-113.97
19,1,2,20.7095,-116.168
20,1,2,0.94516,-112.316
21,1,2,18.4516,-108.818
22,1,2,22.4957,-112.389
23,1,2,3.3459,-108.898
24,1,2,-10.3525,-109.974
25,1,2,-4.0779,-110.894
26,1,2,-18.3487,-113.07
27,1,2,13.6382,-107.198
28,1,2,0.0369698,-104.767
29,1,2,-26.3372,-113.927
30,1,2,11.0298,-110.435
31,1,2,-0.74322,-108.695
32,1,2,-19.4652,-109.229
33,1,2,-14.5898,-109.636
34,1,2,-6.86803,-108.028
35,1,2,7.34506,-108.899
36,1,2,-3.24631,-102.497
37,1,2,5.35927,-105.441
38,1,2,-8.18426,-104.254
39,1,2,10.3384,-104.953
40,1,2,4.13429,-97.9724
41,1,2,6.02827,-101.515
42,1,2,11.9726,-98.8379
43,1,2,-5.99997,-88.3699
44,1,2,-6.22129,-99.6771
45,1,2,3.65348,-89.0384
46,1,2,-1.20653,-99.0374
47,1,2,-0.355054,-87.3476
48,1,2,-4.72246,-93.419
49,1,2,0.422349,-80.4525
50,1,2,13.225,-76.2381
51,1,2,3.68989,-84.1369
52,1,2,6.8979,-70.6791
53,1,2,-2.06682,-73.7358
54,1,2,-8.36164,-72.8438
55,1,2,7.94076,-76.903
56,1,2,2.18159,-71.4383
57,1,2,-5.84656,-69.6935
58,1,2,-2.17736,-65.4959
59,1,2,-9.0254,-66.9187
60,1,2,-1.49342,-69.6566
61,1,2,2.8376,-64.6692
62,1,2,7.10772,-57.5056
63,1,2,11.3401,-65.394
64,1,2,7.28455,-65.4329
65,1,2,-8.5078,-60.5588
66,1,2,1.84167,-59.7136
67,1,2,-4.95308,-58.7296
68,1,2,6.27057,-61.4256
69,1,2,-1.85563,-61.2839
-----------------------------------
Step: 7500 Time: 0.75 Boundary Angle: 0
0,1,2,11.3342,-117.465
1,1,2,7.36344,-117.79
2,1,2,-13.5403,-117.229
3,1,2,-0.791505,-118.002
4,1,2,-5.05328,-117.895
5,1,2,3.32979,-117.954
6,1,2,-9.39419,-117.635
7,1,2,-15.0942,-113.491
8,1,2,9.93668,-113.719
9,1,2,5.36966,-114.352
10,1,2,-2.83679,-114.571
11,1,2,17.2378,-116.743
12,1,2,17.9783,-112.81
13,1,2,-17.4972,-116.696
14,1,2,13.9659,-114.462
15,1,2,-7.03066,-114.419
16,1,2,22.4356,-112.021
17,1,2,-21.4424,-116.035
18,1,2,-11.1404,-114.044
19,1,2,21.1831,-116.083
20,1,2,1.23005,-114.551
21,1,2,22.1732,-107.982
22,1,2,26.3059,-114.404
23,1,2,3.17582,-111.034
24,1,2,-12.8317,-110.19
25,1,2,-4.81852,-111.103
26,1,2,-19.0414,-112.833
27,1,2,18.2721,-108.822
28,1,2,1.12427,-107.622
29,1,2,-27.8821,-114.659
30,1,2,12.5851,-110.719
31,1,2,-0.820594,-111.118
32,1,2,-23.3021,-112.231
33,1,2,-17.2364,-109.263
34,1,2,-8.80171,-110.813
35,1,2,7.20437,-110.805
36,1,2,-2.86259,-107.629
37,1,2,6.03396,-106.988
38,1,2,-12.8681,-106.175
39,1,2,9.96804,-107.704
40,1,2,3.1795,-104.2
41,1,2,9.17476,-103.787
42,1,2,14.5989,-107.264
43,1,2,-6.28196,-100.715
44,1,2,-8.86444,-106.82
45,1,2,3.10682,-100.208
46,1,2,-0.849351,-104.149
47,1,2,-0.825071,-99.4811
48,1,2,-5.51532,-104.653
49,1,2,-0.0705364,-91.4948
50,1,2,13.9676,-87.0026
51,1,2,3.19649,-95.7935
52,1,2,7.18688,-78.3672
53,1,2,-1.85297,-81.3434
54,1,2,-7.70419,-81.772
55,1,2,7.77535,-86.5844
56,1,2,1.77654,-79.6788
57,1,2,-6.02332,-77.7396
58,1,2,-2.07562,-70.5128
59,1,2,-8.85794,-73.955
60,1,2,-1.89259,-76.2944
61,1,2,2.18728,-71.0548
62,1,2,9.10927,-57.2391
63,1,2,11.176,-70.8681
64,1,2,6.97928,-70.5813
65,1,2,-8.92568,-65.1243
66,1,2,0.0428739,-63.2861
67,1,2,-3.97602,-62.5282
68,1,2,6.92973,-66.3148
69,1,2,-2.33617,-66.5273
70,1,2,4.11899,-63.43
71,1,2,-7.98073,-60.0647
72,1,2,10.1194,-63.2376
73,1,2,4.00094,-57.9361
74,1,2,7.00263,-60.6457
-----------------------------------
Step: 8000 Time: 0.8 Boundary Angle: 0
0,1,2,11.8877,-117.401
1,1,2,7.90361,-117.736
2,1,2,-14.0806,-117.158
3,1,2,-0.642892,-117.999
4,1,2,-5.57382,-117.869
5,1,2,3.49418,-117.954
6,1,2,-9.92192,-117.588
7,1,2,-15.6095,-113.44
8,1,2,10.7362,-113.571
9,1,2,5.5346,-114.515
10,1,2,-3.02545,-114.787
11,1,2,18.0108,-116.619
12,1,2,19.3943,-112.865
13,1,2,-18.0427,-116.612
14,1,2,14.6272,-114.489
15,1,2,-7.53484,-114.382
16,1,2,23.946,-112.473
17,1,2,-21.985,-115.935
18,1,2,-11.6495,-113.984
19,1,2,21.9524,-115.94
20,1,2,1.39262,-114.556
21,1,2,27.108,-108.9
22,1,2,27.1792,-114.827
23,1,2,3.43063,-111.114
24,1,2,-13.2936,-110.18
25,1,2,-4.98961,-111.303
26,1,2,-19.5509,-112.761
27,1,2,22.4394,-108.768
28,1,2,1.04897,-107.901
29,1,2,-28.0683,-114.613
30,1,2,14.6378,-110.491
31,1,2,-0.987441,-111.346
32,1,2,-24.4932,-112.819
33,1,2,-19.5375,-108.762
34,1,2,-9.26576,-110.776
35,1,2,7.59875,-111.091
36,1,2,-2.95027,-107.866
37,1,2,7.72508,-107.094
38,1,2,-16.3929,-106.297
39,1,2,11.6595,-107.83
40,1,2,4.12958,-105.353
41,1,2,11.2471,-103.853
42,1,2,18.3551,-109.003
43,1,2,-8.61043,-103.896
44,1,2,-11.8951,-106.433
45,1,2,2.13514,-101.891
46,1,2,-0.996168,-104.381
47,1,2,-4.24674,-102.048
48,1,2,-6.93531,-107.529
49,1,2,-1.04091,-99.4657
50,1,2,14.7101,-100.22
51,1,2,4.32225,-98.5463
52,1,2,7.47586,-88.5077
53,1,2,-2.01242,-91.5884
54,1,2,-7.04675,-93.1527
55,1,2,8.31915,-98.3289
56,1,2,1.74361,-90.1874
57,1,2,-6.20009,-88.2382
58,1,2,-1.98399,-77.5107
59,1,2,-8.69048,-83.4439
60,1,2,-2.29176,-85.3846
61,1,2,1.53695,-79.8929
62,1,2,9.53757,-58.8343
63,1,2,11.0119,-78.7947
64,1,2,6.64537,-76.8751
65,1,2,-8.3844,-70.7815
66,1,2,0.241369,-70.0373
67,1,2,-3.91056,-68.3561
68,1,2,6.50148,-71.942
69,1,2,-2.2969,-73.1679
70,1,2,4.53324,-67.8301
71,1,2,-9.68278,-64.7976
72,1,2,9.39384,-67.6483
73,1,2,5.3251,-60.1728
74,1,2,6.41047,-64.0778
75,1,2,-6.39929,-62.5188
76,1,2,10.4125,-62.7575
77,1,2,-2.65333,-57.5606
78,1,2,1.50081,-61.3967
79,1,2,-2.49714,-61.5603
-----------------------------------
Step: 8500 Time: 0.85 Boundary Angle: 0
0,1,2,12.2469,-117.388
1,1,2,8.22713,-117.714
2,1,2,-14.7039,-117.094
3,1,2,-0.54,-117.999
4,1,2,-5.85824,-117.856
5,1,2,3.56568,-117.965
6,1,2,-10.2071,-117.564
7,1,2,-16.1211,-113.345
8,1,2,10.6886,-113.729
9,1,2,5.71936,-114.602
10,1,2,-3.11981,-114.944
11,1,2,18.3925,-116.558
12,1,2,20.3927,-112.494
13,1,2,-18.65,-116.517
14,1,2,14.9799,-114.473
15,1,2,-7.81446,-114.365
16,1,2,24.3693,-112.103
17,1,2,-22.5867,-115.82
18,1,2,-12.1216,-114.06
19,1,2,22.6073,-115.814
20,1,2,1.49629,-114.555
21,1,2,32.008,-111.914
22,1,2,27.3289,-114.792
23,1,2,3.6446,-111.179
24,1,2,-13.7401,-110.133
25,1,2,-5.08036,-111.454
26,1,2,-20.0712,-112.71
27,1,2,26.0247,-108.46
28,1,2,1.06125,-108.128
29,1,2,-28.2368,-114.574
30,1,2,16.7417,-110.882
31,1,2,-1.07874,-111.509
32,1,2,-24.8192,-112.503
33,1,2,-22.4181,-109.31
34,1,2,-9.80968,-110.816
35,1,2,7.67402,-111.128
36,1,2,-3.02666,-108.025
37,1,2,9.76274,-107.708
38,1,2,-18.6271,-108.057
39,1,2,12.7854,-110.332
40,1,2,5.64219,-107.706
41,1,2,13.7145,-106.446
42,1,2,21.987,-108.767
43,1,2,-11.0157,-106.19
44,1,2,-15.0202,-106.343
45,1,2,3.06185,-104.67
46,1,2,-0.939347,-104.623
47,1,2,-4.98166,-104.533
48,1,2,-7.03226,-107.961
49,1,2,-2.89238,-101.133
50,1,2,17.6994,-107
51,1,2,5.10817,-101.236
52,1,2,8.78799,-99.5806
53,1,2,-1.31737,-97.4605
54,1,2,-8.66495,-102.971
55,1,2,7.70722,-104.282
56,1,2,1.10461,-101.191
57,1,2,-6.57633,-99.5767
58,1,2,-1.89799,-86.8338
59,1,2,-8.52302,-95.3853
60,1,2,-3.06581,-93.871
61,1,2,0.886623,-91.1835
62,1,2,10.0285,-63.8167
63,1,2,10.8478,-89.1737
64,1,2,6.31147,-85.6213
65,1,2,-7.84312,-78.8911
66,1,2,0.470896,-79.2392
67,1,2,-3.76801,-76.0552
68,1,2,6.07322,-80.0217
69,1,2,-2.37992,-82.13
70,1,2,4.87475,-74.3664
71,1,2,-9.14113,-70.9677
72,1,2,8.84041,-73.8438
73,1,2,5.79176,-65.4445
74,1,2,6.26605,-69.7161
75,1,2,-6.16464,-67.5172
76,1,2,10.4917,-67.8709
77,1,2,-2.9817,-57.694
78,1,2,1.70525,-64.2356
79,1,2,-2.66012,-65.2318
80,1,2,-7.32234,-58.67
81,1,2,-10.2896,-61.6606
82,1,2,-5.9347,-62.4391
83,1,2,-1.20414,-61.2877
84,1,2,6.87368,-60.0495
-----------------------------------
Step: 9000 Time: 0.9 Boundary Angle: 0
0,1,2,13.0254,-117.295
1,1,2,8.65271,-117.685
2,1,2,-15.4274,-116.994
3,1,2,-0.0296781,-118.003
4,1,2,-6.78938,-117.806
5,1,2,3.96287,-117.95
6,1,2,-10.9573,-117.497
7,1,2,-17.1269,-113.374
8,1,2,11.4832,-113.618
9,1,2,6.12183,-114.593
10,1,2,-3.34734,-115.778
11,1,2,18.9592,-116.468
12,1,2,21.9525,-111.879
13,1,2,-19.8134,-116.325
14,1,2,15.6255,-114.261
15,1,2,-8.81677,-114.124
16,1,2,25.8808,-111.132
17,1,2,-23.7448,-115.587
18,1,2,-12.8258,-113.963
19,1,2,22.8958,-115.757
20,1,2,2.14276,-114.397
21,1,2,33.4705,-113.154
